seed,lnz_dynesty,lnz_err_dynesty,lnz_mcmc,lnz_err_mcmc,lnz_morph_dynesty,lnz_err_morph_dynesty,lnz_morph_mcmc,lnz_err_morph_mcmc
1,-15941.208073126478,0.0919299667764811,-15941.00425596474,0.1178858279811075,-15941.16241216695,0.1560438581916121,-15941.154131420217,0.1731981895451467
2,-16224.103640264737,0.1058541856678868,-16222.376552172238,0.1401336500209146,-16223.729450246,0.304136810333447,-16223.252596657108,0.3222186941188053
3,-16080.640150058596,0.1064432608161635,-16077.995157802054,0.1316904554407882,-16080.482417048896,0.3305827041691742,-16079.960435181798,0.3331033680069464
4,-16194.05742059444,0.129739584670799,-16192.87403835074,0.2064935679573361,-16194.09657738531,0.2569325114223814,-16193.902313906465,0.2704435820815528
5,-16237.035675709469,0.1091575043796415,-16235.476503982283,0.1425496694242678,-16236.764870860878,0.3118805471964632,-16236.788584843463,0.3626823338063121
6,-16215.95681937676,0.1164270022679169,-16213.184554171909,0.1620944483305213,-16216.193379186618,0.2029608162665411,-16215.927079247438,0.2081276450883077
7,-16158.277938618749,0.1194499715661254,-16161.482011791268,0.141243489029235,-16158.381502388358,0.332344666865768,-16158.426837750456,0.3674332745084073
8,-16152.023942211728,0.117412216244999,-16182.341765228011,0.0929599426989967,-16151.950010278902,0.2741587988094515,-16151.969291019945,0.2906386317350237
9,-16265.421835267116,0.1155651709766642,-16263.648185134192,0.1517008683647346,-16265.308347360296,0.2108728377412924,-16264.999590140318,0.2458894209790738
10,-16448.903815781283,0.1246771455133328,-16447.959313250805,0.1350243134112472,-16448.991075375034,0.2852063477821985,-16448.8461466866,0.3133342837275068
11,-16181.05518343982,0.0994491320874559,-16179.716624545295,0.1243552035471789,-16180.904713200038,0.2285378939196791,-16180.72542027684,0.2402631344474951
12,-16303.593966003637,0.1101246411510084,-16302.616260161632,0.1357597112864735,-16303.230806163196,0.5537891691350897,-16302.966293033469,0.6529331597925725
13,-16399.59135664439,0.1101673126461378,-16398.74700115642,0.1180472214992235,-16399.650540055853,0.2696014590441447,-16399.58138317846,0.2908469364950458
14,-16178.888337156606,0.1086288746118902,-16177.183002781692,0.1374664062498674,-16179.128353648191,0.2281930252739416,-16178.973440116526,0.2417144774634242
15,-16423.10382125404,0.1142104528686231,-16421.200437554373,0.17106929750718,-16423.014864926405,0.1602170570327019,-16423.044610945828,0.1754750504191766
16,-15972.461772627,0.111220260889109,-15971.557564870684,0.1644656250420283,-15972.717170057856,0.2651770653582351,-15972.67406113307,0.3100289924035281
17,-16182.90836409016,0.1036781566401724,-16181.862292671396,0.1301761457658343,-16182.964643886187,0.1796039626453938,-16182.86064818242,0.1847863256381323
18,-16217.60611758616,0.135012397837763,-16222.908742519345,0.1621117786514816,-16217.779626057032,0.3446877451012223,-16218.210939782331,0.2966877167277228
19,-16086.864640965226,0.1219678924570411,-16083.22594370344,0.1893276920966317,-16086.530084846583,0.2397064801270145,-16086.695222025664,0.2827997356049789
20,-16365.559938235594,0.1329670352960923,-16370.22450669101,0.1570524814762595,-16365.574204518578,0.3869876104007275,-16365.307920278086,0.4010839567521117
21,-16066.354972287454,0.1040290652600229,-16065.278130015531,0.1264524226705899,-16066.366501313714,0.2340932417313414,-16066.399383100195,0.2621608628722695
22,-15952.578257751442,0.1393557027273844,-15968.145019825764,0.14200107121108,-15952.895152493962,0.2461754951843606,-15952.737839640637,0.27124591958358
24,-16369.101054873274,0.1161878728975571,-16369.638898036184,0.1186395714549662,-16369.1674706564,0.4539550423877727,-16369.101553441433,0.4652079569235976
25,-16087.64241227989,0.1320328374514709,-16094.498123601228,0.137716138293235,-16087.964291966064,0.3732663585736797,-16087.696377159737,0.396754257476233
26,-16127.64102656982,0.1016607638440772,-16125.830610765788,0.1270227584596445,-16127.52851609499,0.2729572261149731,-16127.430838574935,0.2816398742109601
27,-16283.018156598882,0.099587359993724,-16281.720642720133,0.1623846066953144,-16282.87314086992,0.1729645049360756,-16282.805943423267,0.2102492019675337
28,-16074.836106401344,0.0993195898920719,-16073.635402053344,0.1281640803946405,-16074.876390145091,0.1814285511775622,-16074.82983920975,0.2113847514529167
29,-16151.812255944707,0.0981229629079444,-16150.572656613394,0.1397508907995146,-16151.550187208704,0.1677202948628448,-16151.631018798846,0.213193516208225
30,-16032.73407160509,0.1261602401358092,-16037.203902431856,0.1480316068865243,-16032.944864187117,0.2987794494181558,-16032.825083508307,0.3864873467021266
31,-16432.824734298338,0.1264960447740751,-16432.019162306635,0.1484797880397521,-16432.863014693674,0.2182984432774598,-16433.024852448478,0.2405958950634655
32,-16283.190260804837,0.1195485818775478,-16289.12647509547,0.1346368016121323,-16283.573679970135,0.4131507555970063,-16283.386739953232,0.4870198795677748
33,-15947.281471275908,0.0636692249798343,-15946.941171607885,0.075716011998434,-15947.010041847045,0.0668745931914269,-15946.93395955558,0.0783385901449553
34,-16226.179394190169,0.1108375443812539,-16232.578301955426,0.2013044416511849,-16226.304579979764,0.3344764189903011,-16226.239785200009,0.3787266566968763
35,-16031.336245086784,0.1226245130105707,-16039.559484479489,0.113711788289185,-16031.9394352999,0.4346994131537998,-16031.875001875584,0.4837926105054354
36,-16154.77707843764,0.1165563342912058,-16158.187622190871,0.1073168333762098,-16154.811980872091,0.3695314904403033,-16154.660246727051,0.4535848738142168
37,-16341.386078998525,0.107103963304622,-16339.79806738517,0.1371146244765941,-16341.658025511517,0.235899576492459,-16341.318354094929,0.2411611597347715
38,-16373.050728326274,0.1103086044484886,-16371.002587435702,0.1030929660832277,-16373.225732556491,0.1994154972971837,-16372.995611479728,0.2214206918357654
39,-16112.441482833938,0.0954628770161726,-16111.158423607858,0.1313880155259416,-16112.273621215028,0.2135311236542575,-16112.10851637271,0.2114748491396455
40,-16344.492759171048,0.1202920148947938,-16355.8159329225,0.1238805553935088,-16345.1029030951,0.3928005636220804,-16344.764814412,0.425812438703368
41,-16377.958263119805,0.0978084316984124,-16377.11205435413,0.1116682748701032,-16378.068446854695,0.1418477945401148,-16377.98335904908,0.1577066939442223
42,-16427.95996429391,0.1120019831682705,-16434.90254181261,0.1069333980329458,-16428.161691274334,0.3026996916893626,-16428.25662090748,0.4125741831658505
43,-16240.9125336356,0.1192625119954522,-16239.342120103209,0.2425091260395499,-16240.83648850733,0.2426015240659927,-16240.837001354725,0.2428880134536217
44,-16415.120757579116,0.1157085639763301,-16414.022609567026,0.1477712534100191,-16415.37515609014,0.2450518525006823,-16415.354189071524,0.2721384144047826
45,-16215.433304986542,0.1346112732902265,-16213.739847178444,0.1953199930166852,-16215.110714617313,0.3294327686952751,-16215.39933037884,0.3368355790015792
46,-16083.454115777156,0.1011095668877515,-16083.73904681898,0.1457594259193569,-16083.389576130436,0.1396457843096158,-16083.418870065549,0.1570166977208067
47,-16210.92540224035,0.1018498249304563,-16209.6517819882,,-16210.893713795247,0.2304140290230277,-16210.671153026056,0.2503819965616911
48,-16518.613098362486,0.1059139622747081,-16521.08123555042,0.1101479133956194,-16518.618989052462,0.2921846639211001,-16518.638980247528,0.303374852161576
49,-16220.049781487933,0.1040107346344105,-16219.18027323678,0.1573883592570769,-16220.271467561251,0.1943939421756867,-16220.292357013392,0.20658251882382
50,-16134.110211632576,0.1125450344766492,-16135.637664003796,0.1221851729821483,-16134.429894560688,0.2941875443526247,-16133.997641467422,0.3136480335211568
51,-16091.04690232729,0.0996502220086589,-16090.70932849084,0.1490102484990358,-16091.255076272331,0.210656507813278,-16091.185684082988,0.2370825959089116
52,-16033.393715115686,0.0919886844975806,-16032.654969189753,0.102171807559277,-16033.094782985238,0.1549235690578714,-16033.059991343973,0.1661033755253864
53,-16190.78718551602,0.0890218360789472,-16189.532661441292,0.120770348414317,-16190.367294664962,0.1640493597972145,-16190.455631063864,0.1853715638433782
54,-16396.6704373257,0.117954994125052,-16394.790581895108,0.1590238702711755,-16396.094572443617,0.2186614855609514,-16396.180965507683,0.2468032658101142
55,-16402.08256202551,0.0966885295702948,-16400.94243665436,0.1237648509595377,-16401.8981807278,0.1851277383510275,-16401.89110555515,0.2031002477675327
56,-16226.934676448198,0.1049833154511433,-16224.10540705027,0.1194205223981026,-16226.767670862955,0.2639053707810302,-16226.631001718571,0.305304047675807
57,-16073.402896158896,0.1056857596426716,-16073.397254989695,0.1081048974479653,-16073.30656848069,0.3495744054566589,-16073.078495336797,0.4301777432582572
58,-16408.08059634359,0.1106886412035059,-16406.04469277636,0.1222189538040666,-16407.960526221632,0.3332545540568874,-16408.085310414855,0.3687017017886126
59,-16094.665960550015,0.1064676099356371,-16092.995262068522,0.1160781513013004,-16094.745462371213,0.2570521847765094,-16094.32950424322,0.2664776860398507
60,-16095.50998279093,0.1112383340743411,-16093.178150691914,0.1532419989828264,-16095.574366589468,0.3362523545649675,-16095.282943453763,0.3239721404130169
61,-16118.506317134385,0.0974787897409895,-16117.322974039706,0.1183448257914714,-16118.477173734882,0.1831979022013429,-16118.53509971337,0.2052234893290776
62,-15961.48067716354,0.0969046452009639,-15960.743286232722,0.1216571889767265,-15961.212795905263,0.198808347454887,-15961.294871041358,0.2122110623242092
63,-16122.54539644327,0.1104218312705004,-16120.9611495737,0.1086895863627838,-16122.480297609924,0.3935960730425561,-16122.203631320232,0.4705761366709387
64,-16281.021368967122,0.0580306147350645,-16280.895038198145,0.0572212647653153,-16280.615137793016,0.0464245600610934,-16280.628877427347,0.0560949439737788
65,-16183.7335127632,0.0985111468260013,-16181.956580355694,0.1211513804900418,-16183.3816722444,0.1698495430900025,-16183.490606628518,0.189637921199877
66,-16363.681389935253,0.1003843982828534,-16362.95679532567,0.1298266638673585,-16363.552203133904,0.1565227773391344,-16363.393842627427,0.1831110516997449
67,-16195.436862365075,0.1153081366128602,-16192.63459450955,0.158078682597623,-16195.617792876696,0.2097838086392262,-16195.45564378482,0.2172104355040884
68,-16401.413787505153,0.1128556450124091,-16399.43857838517,0.1693060050565014,-16401.47427413717,0.238190575181171,-16401.33407297582,0.2937077670525708
69,-16200.323956563494,0.1007503468663424,-16198.411235716729,0.1372792148791536,-16200.187610446976,0.1695372901378807,-16200.073461494065,0.1750886946502808
70,-16249.68371499594,0.0982175104294135,-16249.166906787155,0.1241227632607698,-16249.617034819485,0.1520547286930368,-16249.520467525062,0.1665943015191707
71,-16349.401560794477,0.0932880748060264,-16348.35301703774,0.1296816434192572,-16349.231559520673,0.1438622143075543,-16349.097182722784,0.162324932746759
72,-16301.092937528589,0.0990654074945789,-16300.00645294049,0.1183432929023773,-16300.7229080023,0.1775540487885505,-16300.913430570174,0.2082110285894587
73,-16212.111893362273,0.1160285523749614,-16211.63901014382,0.1325718566094595,-16212.385614613904,0.283962514327605,-16212.38304675779,0.3216616920565767
74,-16382.084608875612,0.1080749451575088,-16380.404371936682,0.4993167631904208,-16382.10414165705,0.2445559929052403,-16381.71925830697,0.2701253805441839
75,-16258.556335170077,0.0958598399797386,-16257.34117021979,0.1373719197595219,-16258.58950076511,0.135806153591429,-16258.475791767512,0.1574014763632394
76,-16143.962586021704,0.091872842459147,-16142.476624494626,0.120239506168091,-16143.88274359122,0.1963506527335065,-16143.853285632284,0.2095090231846359
77,-16121.770970981072,0.1020455313142488,-16124.05929122689,0.1099445092234125,-16121.616622363925,0.2805968394978896,-16121.525916858998,0.3326534334434626
78,-16314.28537167854,0.0778141032093615,-16313.991444943807,0.1072704124940077,-16314.116096065738,0.1248153206860444,-16313.990134992362,0.1464726960585509
79,-16298.482638520796,0.0962454753436153,-16297.33531050458,0.1283625472788104,-16298.663232325023,0.2273784007115252,-16298.53656020528,0.2670416154130387
80,-16378.852334844663,0.1230555321132588,-16379.053315533827,0.1597148782680321,-16379.09557088736,0.2807179113967945,-16379.3517545733,0.2996378304770392
81,-16315.043361746655,0.1003077223184897,-16313.737928661163,0.1363821930809055,-16315.238559523488,0.2129457149796811,-16314.929891729926,0.2433440378295988
82,-16414.70072228092,0.0953259902507968,-16413.698598351086,0.1834317569960309,-16414.71978182662,0.174757739604056,-16414.621861607066,0.1936532916907117
83,-16362.21018565805,0.1030382294238268,-16359.792403963558,0.1254235984505302,-16362.191594848848,0.2127631977735861,-16362.06874359276,0.2355437113564152
84,-16049.688313745137,0.0877189839708714,-16048.722493762798,0.114081560239225,-16049.47248653018,0.1327587814015101,-16049.415835438822,0.1445271292942774
85,-16372.926451103234,0.1226040886943042,-16394.11251372078,0.173494411460569,-16372.579489065076,0.3394494063751541,-16372.695945119483,0.3301071011627017
86,-16291.326019747254,0.0962263592537327,-16290.507447334265,0.1148348686657338,-16291.245218161515,0.2339712081113285,-16291.256254954298,0.2589771107031181
87,-16162.674966591852,0.0939460493171728,-16161.831214503996,0.13674497858567,-16162.509700463965,0.1436446023335157,-16162.733241133818,0.1590610162893661
88,-16302.748217372431,0.1164700588504615,-16300.938807965358,0.129121439766245,-16302.771984522622,0.1926603994953211,-16302.764925894156,0.2085814815402825
89,-15969.830120753551,0.1088653018414534,-15967.969558737424,0.1477613400527524,-15969.97955132186,0.2318022091420161,-15969.817846494385,0.2434214446963603
90,-16121.086190696442,0.0999013367787753,-16120.707797142932,0.1464515978862503,-16120.9875527604,0.1348392312067028,-16121.159283311885,0.1420432727469945
91,-16085.344720232017,0.1129861581289784,-16083.60009705693,0.1464916324652645,-16085.28507124009,0.1987550530179287,-16085.225760332698,0.2139382431625472
92,-16289.07087167953,0.1075386130317199,-16286.13113995447,0.1292487450264564,-16289.109200729315,0.2479240302338531,-16288.983642610585,0.2705698811160132
93,-16261.481196198103,0.0944275873214788,-16260.193460081,0.1200533182432616,-16261.337451708489,0.1716494536895864,-16261.40089067056,0.1790362446818482
94,-16260.315599938876,0.0963185099918712,-16260.113817995234,0.1485751802747028,-16259.834188907656,0.1998363614628051,-16259.735547828348,0.2184432359256432
95,-16233.079287638498,0.0862157460491602,-16232.529694469002,0.0960994187683226,-16232.721870089015,0.1569199785868313,-16232.894868444742,0.1841485214319724
96,-16190.860991174834,0.086985407106647,-16190.260733567648,0.2679619402789839,-16190.7452011225,0.1751864209326803,-16190.868716899206,0.1893645076626558
97,-16339.306604432591,0.1093547651774319,-16337.81023374455,0.1269603321125511,-16339.45996563552,0.2463119018044663,-16339.135564251836,0.2689856269609805
98,-16345.402718347024,0.109991024314721,-16344.98991916075,2.632852131258675,-16345.363730835172,0.1445867379801812,-16345.26588995872,0.150915717081297
99,-16067.60887642384,0.0884558833570379,-16066.855001257987,0.1081728752435074,-16067.6544657067,0.1357379892303189,-16067.515299648468,0.1421082317494859
